File Name ; Slope ; Intercept
whitenoise.wav ; 0.12692447040752286 ; -13.519387601159034

waterSound3_4.wav ; -3.2421494980836907 ; -3.805600757646491

bluenoise.wav ; 4.365623391823885 ; -60.678970037921765

waterSound2_1.wav ; 4.310347737294231 ; -70.25588595104257

waterSound1_2.wav ; 3.7517711149419153 ; -65.24292551627676

creekFalls.wav ; -7.976254612860418 ; 32.711992489906415

frozenStream.wav ; -4.145856761550793 ; 13.957782460028518

waterSound1_5.wav ; 4.326703512750857 ; -73.51915570062786

pinknoise.wav ; -4.317955913875106 ; 8.202697125539169

waterSound3_2.wav ; -0.43112471735226054 ; -21.420946463160742

streamRapids.wav ; -4.7371853105709025 ; 22.12103819965744

waterSound2_3.wav ; 4.784621367312394 ; -76.60382249973833

waterSound1_3.wav ; 4.9631837556303955 ; -77.2095776066251

waterSound1_4.wav ; 4.633207608247638 ; -75.39901546204611

lakeshoreWaves.wav ; 0.00014804156665582102 ; -18.350902387125114

waterSound3_5.wav ; -0.9205956056531194 ; -20.429695231528346

brownnoise.wav ; -8.67601650611203 ; 21.274306621190618

waterSound2_4.wav ; 2.6799916755850046 ; -60.25566627187878

waterSound2_2.wav ; 4.004412836809105 ; -69.80598608390365

beachWaves.wav ; -4.84141761454666 ; 9.755780873651622

waterSound3_3.wav ; 0.1365740622655564 ; -25.517336492477117

waterSound3_1.wav ; -0.9324776649007402 ; -20.881842565374505

violetnoise.wav ; 8.224484983483901 ; -107.2879284035972

waterSound1_1.wav ; 3.7515612446408535 ; -69.39138072167562

waterSound2_5.wav ; 3.1104283674301354 ; -62.30185779186679
